"datum","WWTP","flow","conc_SARS_N3_raw","COD","norm_vl_SARS_N3","estimated","aktivni_100.000","ime_protokol","lat","lng","Statistična_regija","preb_2022H2","Delež.preb..priključen.na.ČN"
"2022-09-07","CČN_Brežice",4158000,63775629.9889321,639,1197664412937692.3,1730.7514940481342,766,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-09-12","CČN_Brežice",1532000,132507275.333273,696,2284608195401259,2607.363556160801,819,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-09-19","CČN_Brežice",2560000,42766066.5789994,1350,380142814035550.25,835.6017399508745,1001,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-09-26","CČN_Brežice",4350000,51457842.5889174,649,951454716590152.1,1495.6043941530065,984,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-10-03","CČN_Brežice",3540000,35915297.0857729,600,718305941715458.1,1251.2839350595534,1157,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-10-10","CČN_Brežice",3215000,30250414.2662944,1010,359410862569834.5,806.3903588467167,1087,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-10-17","CČN_Brežice",1700000,77177729.7534593,662,1398992080123129.5,1910.0816125258284,865,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-10-24","CČN_Brežice",1860000,7884699.87853454,460,205687822918292.34,565.913015356748,618,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-11-02","CČN_Brežice",1730000,85242778.0072298,1180,866875708548099.75,1409.8159926689589,548,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-11-07","CČN_Brežice",1770000,9244764.31694762,687,161480599422665.84,485.36619127606167,350,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-11-14","CČN_Brežice",1930000,3681797.3662865,1100,40165062177670.9,200.74712672899065,321,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-11-28","CČN_Brežice",3010000,33243406.6206247,668,597186945280683.1,1112.930960437887,597,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-12-05","CČN_Brežice",6320000,29384405.4574683,225,1567168291064976,2052.7393275592513,972,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-12-12","CČN_Brežice",7000000,4387948.73855849,51,1032458526719644.8,1575.1873293111025,951,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-12-19","CČN_Brežice",6540000,21187689.3623215,145,1753463947226607.3,2204.378959101814,1038,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2022-12-28","CČN_Brežice",3780000,7907507.39508762,358,265056113801819.66,664.7042386239586,1215,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2023-01-04","CČN_Brežice",2230000,77370452.3472277,706,1315078510151178.5,1836.5660684374984,762,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2023-01-09","CČN_Brežice",3410000,21230920.4532769,357,713644384984097.4,1246.1252832759808,469,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2023-01-16","CČN_Brežice",5950000,5703889.12934201,41,1669430964685466.5,2136.746795910089,218,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2023-01-30","CČN_Brežice",3990000,1092241.33675564,137,95670774022391.83,348.19135375160715,33,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2023-02-20","CČN_Brežice",1720000,16979921.9240942,916,222444392018701.3,594.7458197318348,62,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2023-02-27","CČN_Brežice",5120000,641686.17511765,126,61112969058823.79,262.00648793430275,78,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2023-03-13","CČN_Brežice",2510000,4182263.566334914,1250,40149730236815.18,200.69850046604307,185,"BR",45.9002,15.6401,"Posavska",234884,0.102
"2023-03-20","CČN_Brežice",2370000,48653330.98734568,478,1221422535247172,1752.458061175574,82,"BR",45.9002,15.6401,"Posavska",234884,0.102
